
TEST DE PARAMÈTRE 
p = 20
t = 10

 
Listes des gaps moyens de chaque valeur: 

V_205_0.7 : -0.0
V_205_0.4 : -0.0
V_180_0.2 : -0.0
V_205_0.3 : -0.0
V_205_0.2 : -0.0
V_205_0.6 : -0.0
V_205_0.9 : -0.0
V_185_0.2 : -0.0
V_205_0.8 : -0.0
V_205_0.5 : -0.0
V_190_0.7 : 0.0
V_200_0.4 : 0.0
V_180_0.6 : 0.0
V_210_0.9 : 0.0
V_195_0.7 : 0.0
V_190_0.6 : 0.0
V_210_0.3 : 0.0
H_185_0.2 : 0.0
V_180_0.7 : 0.0
V_210_0.7 : 0.0
V_195_0.8 : 0.0
V_195_0.9 : 0.0
V_180_0.5 : 0.0
V_165_0.2 : 0.0
H_210_0.8 : 0.0
V_210_0.6 : 0.0
V_210_0.4 : 0.0
V_175_0.2 : 0.0
V_195_0.3 : 0.0
V_190_0.2 : 0.0
V_210_0.2 : 0.0
V_190_0.8 : 0.0
V_195_0.4 : 0.0
V_200_0.2 : 0.0
H_210_0.9 : 0.0
V_190_0.9 : 0.0
V_190_0.4 : 0.0
H_210_0.7 : 0.0
V_190_0.3 : 0.0
V_170_0.2 : 0.0
V_200_0.3 : 0.0
H_210_0.6 : 0.0
V_185_0.4 : 0.0
H_210_0.2 : 0.0
V_200_0.6 : 0.0
H_210_0.4 : 0.0
V_195_0.5 : 0.0
V_180_0.4 : 0.0
V_195_0.6 : 0.0
V_210_0.5 : 0.0
V_200_0.9 : 0.0
H_190_0.2 : 0.0
V_200_0.7 : 0.0
V_195_0.2 : 0.0
H_210_0.3 : 0.0
V_185_0.3 : 0.0
V_180_0.3 : 0.0
V_185_0.5 : 0.0
H_210_0.5 : 0.0
V_190_0.5 : 0.0
V_150_0.2 : 0.0
V_210_0.8 : 0.0
V_200_0.8 : 0.0
V_200_0.5 : 0.0
V_175_0.7 : 0.01
V_155_0.2 : 0.01
H_205_0.2 : 0.01
V_175_0.3 : 0.01
V_160_0.2 : 0.01
V_175_0.4 : 0.01
V_150_0.3 : 0.01
V_175_0.5 : 0.01
V_175_0.6 : 0.01
V_170_0.3 : 0.01
V_185_0.6 : 0.01
V_170_0.4 : 0.01
V_180_0.8 : 0.01
V_180_0.9 : 0.01
V_170_0.5 : 0.01
V_175_0.9 : 0.02
V_170_0.7 : 0.02
V_185_0.9 : 0.02
