TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

V_250_0.3 : -0.0
V_250_0.5 : -0.0
V_220_0.2 : -0.0
V_210_0.2 : -0.0
V_250_0.4 : -0.0
V_240_0.2 : -0.0
V_250_0.7 : -0.0
V_245_0.2 : -0.0
V_235_0.2 : -0.0
V_250_0.9 : -0.0
V_250_0.2 : -0.0
V_230_0.2 : -0.0
V_250_0.6 : -0.0
V_215_0.2 : -0.0
V_225_0.2 : -0.0
V_250_0.8 : -0.0
V_245_0.3 : 0.0
V_200_0.4 : 0.0
V_245_0.8 : 0.0
H_255_0.9 : 0.0
V_225_0.3 : 0.0
V_255_0.2 : 0.0
V_255_0.7 : 0.0
V_210_0.3 : 0.0
H_250_0.2 : 0.0
V_165_0.2 : 0.0
H_255_0.6 : 0.0
V_195_0.3 : 0.0
H_255_0.5 : 0.0
V_240_0.5 : 0.0
V_195_0.4 : 0.0
V_220_0.3 : 0.0
V_200_0.2 : 0.0
H_250_0.3 : 0.0
V_240_0.3 : 0.0
V_150_0.4 : 0.0
V_255_0.5 : 0.0
V_255_0.6 : 0.0
V_205_0.3 : 0.0
V_190_0.3 : 0.0
V_205_0.2 : 0.0
V_200_0.3 : 0.0
H_255_0.7 : 0.0
V_175_0.4 : 0.0
V_255_0.4 : 0.0
V_155_0.3 : 0.0
H_255_0.3 : 0.0
V_255_0.8 : 0.0
V_200_0.6 : 0.0
V_245_0.9 : 0.0
V_245_0.5 : 0.0
V_240_0.4 : 0.0
V_245_0.6 : 0.0
H_255_0.4 : 0.0
V_245_0.7 : 0.0
V_255_0.3 : 0.0
V_215_0.3 : 0.0
H_255_0.8 : 0.0
H_245_0.2 : 0.0
H_255_0.2 : 0.0
V_240_0.6 : 0.0
H_235_0.2 : 0.0
V_255_0.9 : 0.0
V_245_0.4 : 0.0
V_215_0.9 : 0.01
V_225_0.7 : 0.01
V_210_0.9 : 0.01
V_215_0.5 : 0.01
V_155_0.2 : 0.01
V_210_0.7 : 0.01
V_205_0.7 : 0.01
V_215_0.7 : 0.01
V_220_0.8 : 0.01
V_220_0.9 : 0.01
V_230_0.4 : 0.01
V_210_0.6 : 0.01
V_220_0.6 : 0.01
V_210_0.4 : 0.01
V_175_0.2 : 0.01
V_160_0.3 : 0.01
V_220_0.5 : 0.01
V_215_0.4 : 0.01
V_190_0.2 : 0.01
V_205_0.4 : 0.01
V_230_0.9 : 0.01
V_215_0.6 : 0.01
H_245_0.3 : 0.01
V_180_0.2 : 0.01
H_240_0.3 : 0.01
V_155_0.4 : 0.01
V_140_0.4 : 0.01
V_230_0.8 : 0.01
